Feature 1,Feature 2,Correlation
 ROA(C) before interest and depreciation before interest, Persistent EPS in the Last Four Seasons,0.8306125800614476
 ROA(B) before interest and depreciation after tax, Net Income to Stockholder's Equity,0.8288843967665454
 ROA(C) before interest and depreciation before interest, Net Income to Total Assets,0.8242578606437443
 Net worth/Assets, Current Liability to Equity,0.8194619041548067
 Net worth/Assets, Current Liabilities/Equity,0.8194619041548067
 Debt ratio %, Current Liability to Equity,0.8194619041548066
 Debt ratio %, Current Liabilities/Equity,0.8194619041548066
 Revenue Per Share (Yuan ¥), Total Asset Turnover,0.8114829287170445
 Cash Flow Per Share, Cash Reinvestment %,0.8076995600421191
 ROA(C) before interest and depreciation before interest, Net Income to Stockholder's Equity,0.8057764907382292
 ROA(C) before interest and depreciation before interest, Per Share Net profit before tax (Yuan ¥),0.8031929714335478
